tag;mann;frau
01. Jan;101;501
02. Jan;102;502
03. Jan;103;503
04. Jan;104;504
05. Jan;105;505
06. Jan;106;506
07. Jan;107;507
08. Jan;108;508
09. Jan;109;509
10. Jan;110;510
11. Jan;111;511
12. Jan;112;512
13. Jan;113;513
14. Jan;114;514
15. Jan;115;515
16. Jan;116;516
17. Jan;117;517
18. Jan;118;518
19. Jan;119;519
20. Jan;120;520
21. Jan;121;521
22. Jan;122;522
23. Jan;123;523
24. Jan;124;524
25. Jan;125;525
26. Jan;126;526
27. Jan;127;527
28. Jan;128;528
29. Jan;129;529
30. Jan;130;530
31. Jan;131;531
01. Feb;132;532
02. Feb;133;533
03. Feb;134;534
04. Feb;135;535
05. Feb;136;536
06. Feb;137;537
07. Feb;138;538
08. Feb;139;539
09. Feb;140;540
10. Feb;141;541
11. Feb;142;542
12. Feb;143;543
13. Feb;144;544
14. Feb;145;545
15. Feb;146;546
16. Feb;147;547
17. Feb;148;548
18. Feb;149;549
19. Feb;150;550
20. Feb;151;551
21. Feb;152;552
22. Feb;153;553
23. Feb;154;554
24. Feb;155;555
25. Feb;156;556
26. Feb;157;557
27. Feb;158;558
28. Feb;159;559
29. Februar;160;560
01. Mär;163;563
02. Mär;164;564
03. Mär;165;565
04. Mär;166;566
05. Mär;167;567
06. Mär;168;568
07. Mär;169;569
08. Mär;170;570
09. Mär;171;571
10. Mär;172;572
11. Mär;173;573
12. Mär;174;574
13. Mär;175;575
14. Mär;176;576
15. Mär;177;577
16. Mär;178;578
17. Mär;179;579
18. Mär;180;580
19. Mär;181;581
20. Mär;182;582
21. Mär;183;583
22. Mär;184;584
23. Mär;185;585
24. Mär;186;586
25. Mär;187;587
26. Mär;188;588
27. Mär;189;589
28. Mär;190;590
29. Mär;191;591
30. Mär;192;592
31. Mär;193;593
01. Apr;201;601
02. Apr;202;602
03. Apr;203;603
04. Apr;204;604
05. Apr;205;605
06. Apr;206;606
07. Apr;207;607
08. Apr;208;608
09. Apr;209;609
10. Apr;210;610
11. Apr;211;611
12. Apr;212;612
13. Apr;213;613
14. Apr;214;614
15. Apr;215;615
16. Apr;216;616
17. Apr;217;617
18. Apr;218;618
19. Apr;219;619
20. Apr;220;620
21. Apr;221;621
